school_hash,school_uid,schoolLabel,schoolCode,zip,match_school_id,match_school_name,match_ratio
b97d3dab174310b7695503c2b12dbd93708e0ca3c129bfeda02bb098d606e21e,94132-Jose Ortega Elementary School,Jose Ortega Elementary School,746,94132,6041271,Ortega (Jose) Elementary,0.6415094339622641
d3781e91ad31629de8f817eb4fdb21c289442006e16ad3d9cf6882abd1a75dce,94112-June Jordan School for Equity,June Jordan School for Equity,757,94112,0102103,Jordan (June) School for Equity,0.8
d388fcfa3bafa1f77cd4ff26ca15c00b9e858d87e1e17b28574f15a7915f620d,94110-Junipero Serra Annex Early Education School,Junipero Serra Annex Early Education School,<missing>,94110,6041289,Serra (Junipero) Elementary,0.37142857142857144
e8b60c37036fdf165269175966c4b8693201736806de27c1607dee9642c2c7dc,94110-Junipero Serra Elementary School,Junipero Serra Elementary School,656,94110,6041289,Serra (Junipero) Elementary,0.6440677966101694
515c31bff19e2cd6667145fa6edd3b9b7924ffeefaee2d28b05927e3a93208b6,94121-Lafayette Elementary School,Lafayette Elementary School,664,94121,6041305,Lafayette Elementary,0.851063829787234
e22b43aabaac6d41fcc9cf611fcbfe240b9a6b454db816811384c23af54bc4b6,94132-Lakeshore Alternative Elementary School,Lakeshore Alternative Elementary School,670,94132,6041321,Lakeshore Alternative Elementary,0.9014084507042254
85b459f49d52e99a8b8dcc1076a97184d6d68b1b74b89764124e040a10717881,94122-Lawton Alternative School (K-8),Lawton Alternative School (K-8),676,94122,6041339,Lawton Alternative,0.7346938775510204
f80ab9aa3cb7fe4491a4ebdc98019dd4c82f4d379a59dbcb8abd07f7a4cb04cb,94124-Leola M. Havard Early Education School,Leola M. Havard Early Education School,<missing>,94124,6104673,Drew (Charles) College Preparatory Academy,0.225
0b98982a8ec24f6ce1dc1023f6a1d963c52be1bb7d4d574305c8f069d4799783,94110-Leonard R. Flynn Elementary School,Leonard R. Flynn Elementary School,680,94110,6041347,Flynn (Leonard R.) Elementary,0.6666666666666666
7ee9edeb66ae114db20b1806c71bd30b1bec0e7974a248c5baf7196de96434c3,94112-Longfellow Elementary School,Longfellow Elementary School,691,94112,6041362,Longfellow Elementary,0.8571428571428571
3072d6dfed97e1624617ed5a286f80f54ecf7a24793cfc3760ce1620b995e9c8,94132-Lowell High School,Lowell High School,697,94132,3833407,Lowell High,0.7586206896551724
d8cc41bf416019d5c4a7a18c39874f573cef5c2983dc948ef92a4dcd9b0ffc75,94124-Malcolm X Academy Elementary School,Malcolm X Academy Elementary School,830,94124,6041586,Malcolm X Academy,0.6538461538461539
0b2dec4aad5af645f75e4c14c9734f72743b4318fa9fdd96cda00a4285c54402,94123-Marina Middle School,Marina Middle School,708,94123,6062061,Marina Middle,0.7878787878787878
c6ba1e936b7a7b207eb13d9c708a7f2247b20b43ec1cd48df078f711281d7348,94103-Marshall Elementary School,Marshall Elementary School,714,94103,6041412,Marshall Elementary,0.8444444444444444
3f52fa226ffa1d6c26ff15d9e87bbfd91853a32ffa46548b65e2bb05e41bcfff,94114-McKinley Elementary School,McKinley Elementary School,718,94114,6041420,McKinley Elementary,0.8444444444444444
e646b8bb3a808da2eac8682c296db8f6df7c6917b769e5316d921587fa205f24,94127-Miraloma Elementary School,Miraloma Elementary School,722,94127,6041438,Miraloma Elementary,0.8444444444444444
e1afd554a2a1da64d4b37e8be77f895d508d37def78e77b9dd1ad313316be5cc,94131-Mission Education Center Elementary School,Mission Education Center Elementary School,724,94131,6089585,Mission Education Center,0.7272727272727273
0064575b0e9ae5d23b6a61e00dd68f9544af79ec0cb4330221a73e23bf4b4288,94114-Mission High School,Mission High School,"725, CEEB Code 052980",94114,3834082,Mission High,0.7741935483870968
512bb7adb6264a8b4249fe7f65b5b031067ff6f3e05e092b71fd6a2fe0064e7c,94112-Monroe Elementary School,Monroe Elementary School,729,94112,6041446,Monroe Elementary,0.8292682926829268
a336c2e6532be7c5c5815f3c77fc3baf09843be83fde8b7439175c88fae6b94e,94117-New Traditions Creative Arts Elementary School,New Traditions Creative Arts Elementary School,735,94117,6097919,New Traditions Elementary,0.704225352112676
dd8347c2270f7732b7a664a50904e80aaa051c3608e8ecdf2b40ee680bc2047f,94122-Noriega Early Education School,Noriega Early Education School,928,94122,6041008,Key (Francis Scott) Elementary,0.3333333333333333
23252c21198d5083ffb68cfc1d0df7d68d9714f137f78e1cf466b5a61cd7ea46,94110-Paul Revere (PreK-8) School,Paul Revere (PreK-8) School,760,94110,6041487,Revere (Paul) Elementary,0.47058823529411764
30cba3ded4809e04bf8fa11d8a42177bd3155b8f896938783da36f02bf65b1c2,94134-Phillip and Sala Burton Academic High School,Phillip and Sala Burton Academic High School,764,94134,3830254,Burton (Phillip and Sala) Academic High,0.7228915662650602
d1a0163e813ea6302960ff49480dac2b11eae4ad1d104885d5695006370e41ed,94121-Presidio Middle School,Presidio Middle School,778,94121,6062079,Presidio Middle,0.8108108108108109
a3f9d793d33f339fbe45444f62cdb85eeb506d502b736d91baebdef7511338e2,94115-Project Search,Project Search,<missing>,94115,6112601,Creative Arts Charter,0.2857142857142857
ca1ead6e4f64c37a17996ece4730a963ac39f4666f8ee366ad56d6141df823b5,94115-Raoul Wallenberg High School,Raoul Wallenberg High School,785,94115,3830205,Wallenberg (Raoul) Traditional High,0.47619047619047616
a37877fd15f880f23937960305bfa2f6ffdb3e52150bd7ea3e4ed2cb821faa69,94115-Raphael Weill Early Education School,Raphael Weill Early Education School,<missing>,94115,6040968,Cobb (William L.) Elementary,0.3125
15aff8e576f6f58f35d7f8c0a25531c9282f3dbdc9934f0038507a7abcde3aac,94109-Redding Elementary School,Redding Elementary School,790,94109,6041511,Redding Elementary,0.8372093023255814
10711a6ae8ec0c15ef375ce6ebfd1a3cc6eb7a9781185d2d5dd380cb28955929,94116-Robert Louis Stevenson Elementary School,Robert Louis Stevenson Elementary School,782,94116,6041529,Stevenson (Robert Louis) Elementary,0.6133333333333333
c0d71d4b3424330e859af795dc21033a1fe0182e6e570c68ebce079c0f6c6498,94131-Rooftop School TK-8,Rooftop School TK-8,796,94131,6089775,Rooftop Elementary,0.4864864864864865
21e6362e8e6fcec68160497900a820e404ebf15f14d5865a6459f4f11f1ebb5d,94114-Rooftop TK-8 School - Mayeda Campus,Rooftop TK-8 School - Mayeda Campus,796,94114,6040935,Thomas Edison Charter Academy,0.25
6c55c6b95d99822f41abcbd16c5d5cd7f6ce7d20f85ba7ec83975dd3b22b333d,94118-Roosevelt Middle School,Roosevelt Middle School,797,94118,6059901,Roosevelt Middle,0.8205128205128205
e6c1d8e75fd80fdb55009f47748c45396051385157c5b590da53dc702e934280,94115-Rosa Parks Elementary School,Rosa Parks Elementary School,786,94115,6041503,Parks (Rosa) Elementary,0.6274509803921569
a46e33875ba614cd6cbf9849fb8a8933b37cec9366092ad6dfadb8808d27a534,94131-Ruth Asawa San Francisco School of the Arts,Ruth Asawa San Francisco School of the Arts,815,94131,3830387,"Asawa (Ruth) SF Sch of the Arts, A Public School",0.5274725274725275
fa496f1f278cbca78d7a74ed2856aa316eb64e1acaef0980685ff364d9e549eb,94112-San Francisco Community School,San Francisco Community School,493,94112,6093488,San Francisco Community Alternative,0.7692307692307693
ec27abfc0a4c2d549edcb2ce6ff2dbf2720359e515793cbd93501a91392a1862,94107-San Francisco International High School,San Francisco International High School,621,94107,0119875,S.F. International High,0.6774193548387096
43481757c8102462b85304ee7ac655c7f734b8aed614e974a4b35c86af316a7d,94115-San Francisco Public Montessori,San Francisco Public Montessori,814,94115,0123117,San Francisco Public Montessori,1.0
19c4204704adb9868eb23780ee585451e596feb8346812a18382a2a108a991be,94112-San Miguel Early Education School,San Miguel Early Education School,<missing>,94112,0102103,Jordan (June) School for Equity,0.375
8d2523bcd78f516361f204dea4ea514a341cd853caede7d50770716b3778691b,94114-Sanchez Elementary School,Sanchez Elementary School,816,94114,6041545,Sanchez Elementary,0.8372093023255814
d72f81ef62efd740d292eed68584455abbd09e537adb4cc0f6ba65c7bd14ada2,94112-Sheridan Elementary School,Sheridan Elementary School,820,94112,6041560,Sheridan Elementary,0.8444444444444444
cea924ea602c31ac3f911a84feab212146f52b5f8a91468df6b63f90dd4d8f08,94123-Sherman Elementary School,Sherman Elementary School,823,94123,6041578,Sherman Elementary,0.8372093023255814
